solar_data,solar_hashes,dump_data,dump_hashes
A3034KR4301HA26280080023700000074009324717001900024300181002380002641700029308030ÿ,2013-09-27 09:32:47.199625,A3034KR4301HA26280080023700000074009324717001900024300181002380002641700029308030ÿ,2013-09-27 09:32:47.195311
A3034KR4301HA26280080021200000014009243328001900023900181002130002067500022714705ÿ,2013-09-27 09:24:33.308750,A3034KR4301HA26280080021200000014009243328001900023900181002130002067500022714705ÿ,2013-09-27 09:24:33.304476
A3034KR4301HA26280080022900000014009273015001900023900181002280002248100024671250ÿ,2013-09-27 09:27:30.187749,A3034KR4301HA26280080022900000014009273015001900023900181002280002248100024671250ÿ,2013-09-27 09:27:30.184295
A3034KR4301HA26280080022000000014009262365001900023900181002190002178100023891650ÿ,2013-09-27 09:26:23.680714,A3034KR4301HA26280080022000000014009262365001900023900181002190002178100023891650ÿ,2013-09-27 09:26:23.669897
A3034KR4301HA26280080023600000024009325594001900024300181002370002644800029344620ÿ,2013-09-27 09:32:55.968620,A3034KR4301HA26280080023600000024009325594001900024300181002370002644800029344620ÿ,2013-09-27 09:32:55.961579
A3034KR4301HA26280080021000000064009245341001900023900181002090002091800022971460ÿ,2013-09-27 09:24:53.440748,A3034KR4301HA26280080021000000064009245341001900023900181002090002091800022971460ÿ,2013-09-27 09:24:53.439657
A3034KR4301HA26280080021900000054009261127001900023900181002180002173800023844510ÿ,2013-09-27 09:26:11.302715,A3034KR4301HA26280080021900000054009261127001900023900181002180002173800023844510ÿ,2013-09-27 09:26:11.292469
A3034KR4301HA26280080021900000024009235512001900023900181002200001995400021938430ÿ,2013-09-27 09:23:55.163651,A3034KR4301HA26280080021900000024009235512001900023900181002200001995400021938430ÿ,2013-09-27 09:23:55.153127
A3034KR4301HA26280080023900000034009303326001900024300181002380002576200028530725ÿ,2013-09-27 09:30:33.298623,A3034KR4301HA26280080023900000034009303326001900024300181002380002576200028530725ÿ,2013-09-27 09:30:33.298363
A3034KR4301HA26280080021800000024009235748001900023900181002170002001700022006920ÿ,2013-09-27 09:23:57.515651,A3034KR4301HA26280080021800000024009235748001900023900181002170002001700022006920ÿ,2013-09-27 09:23:57.511306
A3034KR4301HA26280080021200000024009252082001900023900181002130002129900023370960ÿ,2013-09-27 09:25:20.850715,A3034KR4301HA26280080021200000024009252082001900023900181002130002129900023370960ÿ,2013-09-27 09:25:20.844247
